example,IndividualLabels,CategorizedLabels
Third Paris blast victim was Moroccan student .,"[{""Description"": ""Location"", ""Text"": ""Paris""}, {""Description"": ""Miscellaneous"", ""Text"": ""Moroccan""}]","{""Location"": [""Paris""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Moroccan""]}"
PARIS 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""PARIS""}]","{""Location"": [""PARIS""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Moroccan Mohamed Benchaou , the third person to die after a bombing on a Paris train , was a 25-year-old student about to submit a mathematics doctorate , the Moroccan embassy said on Friday .","[{""Description"": ""Miscellaneous"", ""Text"": ""Moroccan""}, {""Description"": ""Person"", ""Text"": ""Mohamed Benchaou""}, {""Description"": ""Location"", ""Text"": ""Paris""}, {""Description"": ""Miscellaneous"", ""Text"": ""Moroccan""}]","{""Location"": [""Paris""], ""Organization"": [], ""Person"": [""Mohamed Benchaou""], ""Miscellaneous"": [""Moroccan"", ""Moroccan""]}"
"Benchaou died of his injuries on Thursday night , two days after the blast .","[{""Description"": ""Person"", ""Text"": ""Benchaou""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Benchaou""], ""Miscellaneous"": []}"
A newly-married Canadian woman and a man from New Caledonia died instantly in the bomb that injured 90 others in the rush-hour train .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Canadian""}, {""Description"": ""Location"", ""Text"": ""New Caledonia""}]","{""Location"": [""New Caledonia""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Canadian""]}"
"An embassy spokesman said Benchaou , the son of a Moroccan army colonel , had been due to take his doctorate in March and hoped to become a teacher .","[{""Description"": ""Person"", ""Text"": ""Benchaou""}, {""Description"": ""Miscellaneous"", ""Text"": ""Moroccan""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Benchaou""], ""Miscellaneous"": [""Moroccan""]}"
Investigators have said the explosion bore the hallmarks of Algerian Moslem fundamentalists who staged a series of bombings last year which killed eight people and injured more than 160 .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Algerian""}, {""Description"": ""Miscellaneous"", ""Text"": ""Moslem""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Algerian"", ""Moslem""]}"
Italian President urges separatists to turn back .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Italian""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Italian""]}"
"MANTUA , Italy 1996-12-06","[{""Description"": ""Location"", ""Text"": ""Italy""}]","{""Location"": [""Italy""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Italian President Oscar Luigi Scalfaro visited the symbolic heartland of the separatist Northern League on Friday and appealed to its supporters to drop their campaign for a breakaway state .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Italian""}, {""Description"": ""Person"", ""Text"": ""Oscar Luigi Scalfaro""}, {""Description"": ""Organization"", ""Text"": ""Northern League""}]","{""Location"": [], ""Organization"": [""Northern League""], ""Person"": [""Oscar Luigi Scalfaro""], ""Miscellaneous"": [""Italian""]}"
"Addressing a convention on Italian unity in Mantua , where the party has set up its own  parliament of the north  , Scalfaro made a direct appeal to what he called  my friends from the League  to work instead for federal reform .","[{""Description"": ""Miscellaneous"", ""Text"": ""Italian""}, {""Description"": ""Person"", ""Text"": ""Scalfaro""}, {""Description"": ""Organization"", ""Text"": ""League""}]","{""Location"": [], ""Organization"": [""League""], ""Person"": [""Scalfaro""], ""Miscellaneous"": [""Italian""]}"
" It is an invitation , a commitment , a promise .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Let 's march together ,  Scalfaro , a northerner himself , said .","[{""Description"": ""Location"", ""Text"": ""Let""}, {""Description"": ""Person"", ""Text"": ""Scalfaro""}]","{""Location"": [""Let""], ""Organization"": [], ""Person"": [""Scalfaro""], ""Miscellaneous"": []}"
" Help Italy to teach , to propose a capacity for strong local autonomy , for the federalism which can give new vigour to our blood .","[{""Description"": ""Location"", ""Text"": ""Italy""}]","{""Location"": [""Italy""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"But turn back from the line you are taking now ,  he said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Scalfaro was in Mantua to attend a ceremony commemorating the executions there by Austrian rulers in 1852 and 1853 of a group of Italians who had campaigned for national unity .,"[{""Description"": ""Person"", ""Text"": ""Scalfaro""}, {""Description"": ""Location"", ""Text"": ""Mantua""}, {""Description"": ""Miscellaneous"", ""Text"": ""Austrian""}, {""Description"": ""Miscellaneous"", ""Text"": ""Italians""}]","{""Location"": [""Mantua""], ""Organization"": [], ""Person"": [""Scalfaro""], ""Miscellaneous"": [""Austrian"", ""Italians""]}"
He was jeered and whistled at by a small group of League supporters when he arrived for a visit marked by heavy security .,"[{""Description"": ""Location"", ""Text"": ""League""}]","{""Location"": [""League""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Witnesses said the protesters were outnumbered by other Italians who waved tricolour flags in the national red , white and green or shouted  Viva Italia  .","[{""Description"": ""Miscellaneous"", ""Text"": ""Italians""}, {""Description"": ""Location"", ""Text"": ""Italia""}]","{""Location"": [""Italia""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Italians""]}"
The League won more than eight percent of votes at the last general election in April on a federalist platform but its leader Umberto Bossi later switched to a separatist agenda .,"[{""Description"": ""Organization"", ""Text"": ""League""}, {""Description"": ""Person"", ""Text"": ""Umberto Bossi""}]","{""Location"": [], ""Organization"": [""League""], ""Person"": [""Umberto Bossi""], ""Miscellaneous"": []}"
"A three-day  independence  march along the Po River in September , culminating in a declaration in Venice of a self-styled  Republic of Padania  , flopped badly .","[{""Description"": ""Location"", ""Text"": ""Po""}, {""Description"": ""Location"", ""Text"": ""Venice""}, {""Description"": ""Location"", ""Text"": ""Republic of Padania""}]","{""Location"": [""Po"", ""Venice"", ""Republic of Padania""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Denmark 's Radiometer H1 result seen flat .,"[{""Description"": ""Location"", ""Text"": ""Denmark""}]","{""Location"": [""Denmark""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
COPENHAGEN 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""COPENHAGEN""}]","{""Location"": [""COPENHAGEN""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
A Reuter consensus survey sees medical equipment group Radiometer reporting largely unchanged earnings when it publishes first half 19996/97 results next Wednesday .,"[{""Description"": ""Organization"", ""Text"": ""Reuter""}, {""Description"": ""Organization"", ""Text"": ""Radiometer""}, {""Description"": ""Organization"", ""Text"": ""Wednesday""}]","{""Location"": [], ""Organization"": [""Reuter"", ""Radiometer"", ""Wednesday""], ""Person"": [], ""Miscellaneous"": []}"
An average of four analysts ' forecasts predicted pre-tax profit of 147.3 million crowns compared to 144.5 million in the first six months of 1995/96 .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"They said that the group 's failure to introduce new products was behind the share 's weak performance in 1996 , during which it has lost seven percent so far .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"-- Soeren Linding Jakobsen , Copenhagen newsroom +45 33969650","[{""Description"": ""Person"", ""Text"": ""Soeren Linding Jakobsen""}, {""Description"": ""Location"", ""Text"": ""Copenhagen""}]","{""Location"": [""Copenhagen""], ""Organization"": [], ""Person"": [""Soeren Linding Jakobsen""], ""Miscellaneous"": []}"
Moslem fundamentalists kill 19 Algerians - agency .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Moslem""}, {""Description"": ""Miscellaneous"", ""Text"": ""Algerians""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Moslem"", ""Algerians""]}"
PARIS 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""PARIS""}]","{""Location"": [""PARIS""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Moslem fundamentalists killed 19 civilians overnight in Blida province south of Algiers , Algerian security forces said on Friday .","[{""Description"": ""Miscellaneous"", ""Text"": ""Moslem""}, {""Description"": ""Location"", ""Text"": ""Blida""}, {""Description"": ""Location"", ""Text"": ""Algiers""}, {""Description"": ""Miscellaneous"", ""Text"": ""Algerian""}]","{""Location"": [""Blida"", ""Algiers""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Moslem"", ""Algerian""]}"
"In a statement carried on the official Algerian news agency APS , the security forces said the 19 had been killed by  a group of terrorists  .","[{""Description"": ""Miscellaneous"", ""Text"": ""Algerian""}, {""Description"": ""Organization"", ""Text"": ""APS""}]","{""Location"": [], ""Organization"": [""APS""], ""Person"": [], ""Miscellaneous"": [""Algerian""]}"
"Belgian police smash major drugs rings , 30 arrested .","[{""Description"": ""Miscellaneous"", ""Text"": ""Belgian""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Belgian""]}"
BRUSSELS 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""BRUSSELS""}]","{""Location"": [""BRUSSELS""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Police smashed two drugs smuggling rings and arrested 30 people after a taxidriver in Spain alerted them to a suitcase of heroin left in his cab , Belgian police said on Friday .","[{""Description"": ""Location"", ""Text"": ""Spain""}, {""Description"": ""Miscellaneous"", ""Text"": ""Belgian""}]","{""Location"": [""Spain""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Belgian""]}"
"Police seized dozens of kilos of heroin with a street value of hundreds of millions of Belgian francs , a public prosecutor 's office spokesman in the port city of Antwerp said .","[{""Description"": ""Miscellaneous"", ""Text"": ""Belgian""}, {""Description"": ""Organization"", ""Text"": ""Antwerp""}]","{""Location"": [], ""Organization"": [""Antwerp""], ""Person"": [], ""Miscellaneous"": [""Belgian""]}"
He said a 24-year-old Belgian woman left a suitcase containing 13 kg ( 29 lb ) of heroin in a taxi in Barcelona .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Belgian""}, {""Description"": ""Location"", ""Text"": ""Barcelona""}]","{""Location"": [""Barcelona""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Belgian""]}"
The taxidriver alerted police who arrested a 33-year-old Turkish man when he came to pick up the suitcase at a lost luggage office .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Turkish""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Turkish""]}"
The woman was later arrested in Belgium .,"[{""Description"": ""Location"", ""Text"": ""Belgium""}]","{""Location"": [""Belgium""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"She and the Turkish man smuggled heroin from Turkey to Antwerp from where it was taken to Spain , France and Germany by others , the spokesman said .","[{""Description"": ""Miscellaneous"", ""Text"": ""Turkish""}, {""Description"": ""Location"", ""Text"": ""Turkey""}, {""Description"": ""Organization"", ""Text"": ""Antwerp""}, {""Description"": ""Location"", ""Text"": ""Spain""}, {""Description"": ""Location"", ""Text"": ""France""}, {""Description"": ""Location"", ""Text"": ""Germany""}]","{""Location"": [""Turkey"", ""Spain"", ""France"", ""Germany""], ""Organization"": [""Antwerp""], ""Person"": [], ""Miscellaneous"": [""Turkish""]}"
He said 14 people were arrested in Belgium and 16 others in other European nations after an investigation lasting nearly a year .,"[{""Description"": ""Location"", ""Text"": ""Belgium""}, {""Description"": ""Miscellaneous"", ""Text"": ""European""}]","{""Location"": [""Belgium""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""European""]}"
( $ 1=32.14 Belgian Franc ),"[{""Description"": ""Miscellaneous"", ""Text"": ""Belgian""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Belgian""]}"
Port conditions update - Lloyds Shipping .,"[{""Description"": ""Organization"", ""Text"": ""Lloyds Shipping""}]","{""Location"": [], ""Organization"": [""Lloyds Shipping""], ""Person"": [], ""Miscellaneous"": []}"
"GREECE , Dec 5 - Greek port workers called off a strike which had kept the country 's ports closed , giving the government until Feb 1 to introduce a promised bonus scheme .","[{""Description"": ""Location"", ""Text"": ""GREECE""}, {""Description"": ""Miscellaneous"", ""Text"": ""Greek""}]","{""Location"": [""GREECE""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Greek""]}"
German Jan-August coffee imports detailed .,"[{""Description"": ""Miscellaneous"", ""Text"": ""German""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""German""]}"
HAMBURG 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""HAMBURG""}]","{""Location"": [""HAMBURG""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"German net green coffee imports from outside the EU totalled 7.73 million bags in January-August compared with 7.66 million in the year-ago period , the DKV coffee association said .","[{""Description"": ""Miscellaneous"", ""Text"": ""German""}, {""Description"": ""Organization"", ""Text"": ""EU""}, {""Description"": ""Organization"", ""Text"": ""DKV""}]","{""Location"": [], ""Organization"": [""EU"", ""DKV""], ""Person"": [], ""Miscellaneous"": [""German""]}"
"Imports of 1.04 million bags in August were down from 1.08 million in August 1995 but up from 992,860 bags in July 1996 .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Colombia shipped 198,226 bags in August after 164,185 in July , El Salvador 160,553 ( 129,184 ) , Indonesia 72,218 ( 78,959 ) , Ethiopia 69,252 ( 60,456 ) and Kenya 63,969 ( 60,043 ) .","[{""Description"": ""Location"", ""Text"": ""Colombia""}, {""Description"": ""Location"", ""Text"": ""El Salvador""}, {""Description"": ""Location"", ""Text"": ""Indonesia""}, {""Description"": ""Location"", ""Text"": ""Ethiopia""}, {""Description"": ""Location"", ""Text"": ""Kenya""}]","{""Location"": [""Colombia"", ""El Salvador"", ""Indonesia"", ""Ethiopia"", ""Kenya""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Brazil was in seventh position with 54,333 bags ( 29,055 ) .","[{""Description"": ""Location"", ""Text"": ""Brazil""}]","{""Location"": [""Brazil""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
-- Hamburg newsroom +49-40-41903275,"[{""Description"": ""Location"", ""Text"": ""Hamburg""}]","{""Location"": [""Hamburg""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Munich Re says to split stock .,"[{""Description"": ""Organization"", ""Text"": ""Munich Re""}]","{""Location"": [], ""Organization"": [""Munich Re""], ""Person"": [], ""Miscellaneous"": []}"
"MUNICH , Germany 1996-12-06","[{""Description"": ""Location"", ""Text"": ""MUNICH""}, {""Description"": ""Location"", ""Text"": ""Germany""}]","{""Location"": [""MUNICH"", ""Germany""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Muenchener Rueckversicherungs AG , the world 's largest reinsurer , said on Friday it expected to switch its shares to a lower par value by September 1997 at the earliest .","[{""Description"": ""Miscellaneous"", ""Text"": ""Muenchener""}, {""Description"": ""Organization"", ""Text"": ""Rueckversicherungs AG""}]","{""Location"": [], ""Organization"": [""Rueckversicherungs AG""], ""Person"": [], ""Miscellaneous"": [""Muenchener""]}"
"The group , known as Munich Re , plans to seek approval for the move at its shareholders ' meeting today .","[{""Description"": ""Organization"", ""Text"": ""Munich Re""}]","{""Location"": [], ""Organization"": [""Munich Re""], ""Person"": [], ""Miscellaneous"": []}"
The company said the switch would probably become effective in September .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"The planned 10-for-one stock split would reduce the par value of Munich Re 's shares to five marks from 50 , causing their price to drop to around one tenth of the present value .","[{""Description"": ""Organization"", ""Text"": ""Munich Re""}]","{""Location"": [], ""Organization"": [""Munich Re""], ""Person"": [], ""Miscellaneous"": []}"
"Munich Re 's registered shares , part of the blue-chip DAX index , were trading at 3,710 marks on Friday .","[{""Description"": ""Organization"", ""Text"": ""Munich Re""}, {""Description"": ""Miscellaneous"", ""Text"": ""DAX""}]","{""Location"": [], ""Organization"": [""Munich Re""], ""Person"": [], ""Miscellaneous"": [""DAX""]}"
"-- Frankfurt Newsroom , +49 69 756525","[{""Description"": ""Organization"", ""Text"": ""Frankfurt Newsroom""}]","{""Location"": [], ""Organization"": [""Frankfurt Newsroom""], ""Person"": [], ""Miscellaneous"": []}"
EU experts postpone talks on rice area aid .,"[{""Description"": ""Organization"", ""Text"": ""EU""}]","{""Location"": [], ""Organization"": [""EU""], ""Person"": [], ""Miscellaneous"": []}"
BRUSSELS 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""BRUSSELS""}]","{""Location"": [""BRUSSELS""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"European Union rice experts on Thursday postponed discussion on area aid payments to rice producers because the documents were not available in all the EU languages , an EU offcial said on Friday .","[{""Description"": ""Organization"", ""Text"": ""European Union""}, {""Description"": ""Organization"", ""Text"": ""EU""}, {""Description"": ""Organization"", ""Text"": ""EU""}]","{""Location"": [], ""Organization"": [""European Union"", ""EU"", ""EU""], ""Person"": [], ""Miscellaneous"": []}"
" The discussion in the experts group had to be postponed because the documents needed to be translated into the official languages and the item will be on next week 's agenda ,  the offcial said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
European rice producers are due to get compensatory area aid payments similar to those paid to cereal producers because of cuts in intervention prices .,"[{""Description"": ""Miscellaneous"", ""Text"": ""European""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""European""]}"
-- Brussels Newsroom 32 2 287 6800,"[{""Description"": ""Organization"", ""Text"": ""Brussels Newsroom""}]","{""Location"": [], ""Organization"": [""Brussels Newsroom""], ""Person"": [], ""Miscellaneous"": []}"
Frankfurt dollar fix 1.5338 marks .,"[{""Description"": ""Location"", ""Text"": ""Frankfurt""}]","{""Location"": [""Frankfurt""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
FRANKFURT 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""FRANKFURT""}]","{""Location"": [""FRANKFURT""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"The dollar was fixed at 1.5338 marks in Frankfurt on Friday , after 1.5607 marks on Thursday .","[{""Description"": ""Location"", ""Text"": ""Frankfurt""}]","{""Location"": [""Frankfurt""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
There was no Bundesbank intervention .,"[{""Description"": ""Organization"", ""Text"": ""Bundesbank""}]","{""Location"": [], ""Organization"": [""Bundesbank""], ""Person"": [], ""Miscellaneous"": []}"
John Lewis UK store sales up 4.5   in week .,"[{""Description"": ""Organization"", ""Text"": ""John Lewis UK""}]","{""Location"": [], ""Organization"": [""John Lewis UK""], ""Person"": [], ""Miscellaneous"": []}"
LONDON 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""LONDON""}]","{""Location"": [""LONDON""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
The John Lewis Partnership said its UK department store sales rose 4.5 percent in the week to November 30 compared with the same week a year earlier .,"[{""Description"": ""Person"", ""Text"": ""John Lewis""}, {""Description"": ""Location"", ""Text"": ""UK""}]","{""Location"": [""UK""], ""Organization"": [], ""Person"": [""John Lewis""], ""Miscellaneous"": []}"
"In the 18 weeks to November 30 , sales were up 13.6 percent year-on-year .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Total sales , including the Waitrose supermarket chain , rose 5.8 percent in the week and were up 11.4 percent in the 18-week period .","[{""Description"": ""Organization"", ""Text"": ""Waitrose""}]","{""Location"": [], ""Organization"": [""Waitrose""], ""Person"": [], ""Miscellaneous"": []}"
"-- Rosemary Bennett , London Newsroom 44 171 542 2774","[{""Description"": ""Person"", ""Text"": ""Rosemary Bennett""}, {""Description"": ""Organization"", ""Text"": ""London Newsroom""}]","{""Location"": [], ""Organization"": [""London Newsroom""], ""Person"": [""Rosemary Bennett""], ""Miscellaneous"": []}"
Timah at 15.625 in London at 0931 GMT .,"[{""Description"": ""Organization"", ""Text"": ""Timah""}, {""Description"": ""Location"", ""Text"": ""London""}, {""Description"": ""Miscellaneous"", ""Text"": ""GMT""}]","{""Location"": [""London""], ""Organization"": [""Timah""], ""Person"": [], ""Miscellaneous"": [""GMT""]}"
LONDON 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""LONDON""}]","{""Location"": [""LONDON""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
PT Tambang Timah was traded at $ 15.625 per GDR in London on Friday at around 0931 GMT .,"[{""Description"": ""Organization"", ""Text"": ""PT Tambang Timah""}, {""Description"": ""Location"", ""Text"": ""London""}, {""Description"": ""Miscellaneous"", ""Text"": ""GMT""}]","{""Location"": [""London""], ""Organization"": [""PT Tambang Timah""], ""Person"": [], ""Miscellaneous"": [""GMT""]}"
It recorded a low of $ 15.625 and a high of $ 15.725 .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Its previous close on Thursday was $ 15.80 .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
One Global Depository Receipt represents 10 common shares .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
-- Jakarta newsroom +6221 384-6364,"[{""Description"": ""Location"", ""Text"": ""Jakarta""}]","{""Location"": [""Jakarta""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
British  Euro-sceptic  says Clarke should resign .,"[{""Description"": ""Miscellaneous"", ""Text"": ""British""}, {""Description"": ""Miscellaneous"", ""Text"": ""Euro-sceptic""}, {""Description"": ""Person"", ""Text"": ""Clarke""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Clarke""], ""Miscellaneous"": [""British"", ""Euro-sceptic""]}"
LONDON 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""LONDON""}]","{""Location"": [""LONDON""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
A  Euro-sceptic  member of the ruling Conservative party said on Thursday British finance minister Kenneth Clarke had to resign to prevent the party disintegrating over the issue of a single European currency .,"[{""Description"": ""Miscellaneous"", ""Text"": ""Euro-sceptic""}, {""Description"": ""Miscellaneous"", ""Text"": ""Conservative""}, {""Description"": ""Miscellaneous"", ""Text"": ""British""}, {""Description"": ""Person"", ""Text"": ""Kenneth Clarke""}, {""Description"": ""Miscellaneous"", ""Text"": ""European""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Kenneth Clarke""], ""Miscellaneous"": [""Euro-sceptic"", ""Conservative"", ""British"", ""European""]}"
Member of Parliament Tony Marlow said the resignation of the chancellor of the exchequer was the only way to make the Conservatives electable in a general election which must take place by May next year .,"[{""Description"": ""Person"", ""Text"": ""Tony Marlow""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Tony Marlow""], ""Miscellaneous"": []}"
 We have a divided and split Cabinet .,"[{""Description"": ""Organization"", ""Text"": ""Cabinet""}]","{""Location"": [], ""Organization"": [""Cabinet""], ""Person"": [], ""Miscellaneous"": []}"
