input,label
"Product Name: Beartooth Highway Montana Bumper Sticker - Yellowstone Decal Description: Beartooth Highway white oval sticker, 2 sizes: 3"" laptop decal size & 4"" bumper sticker. Durable die-cut vinyl decal with a matte UV-resistant coating. Waterproof & weatherproof for indoor & outdoor use. Made in Idaho.

Great Yellowstone National Park souvenir for gift shops, boutiques, general stores, marinas, tackle shops, & outdoor outfitters in western Montana.

Winding 68 miles through the mountains, the Beartooth Highway is an incredible way to explore Montana's Absaroka & Beartooth Mountain ranges. Whether you're hiking the backcountry. photographing grizzlies and mountain goats, or camping along the Clark Fork, this beautiful National Scenic Byway has an adventure for everyone. Celebrate your time in the Treasure State with a Beartooth decal.

Display this Montana bumper sticker on your car, truck, motorcycle, or RV. Perfect waterproof decal for Hydroflask water bottle, drink tumbler, insulated thermos, or Yeti cooler. ",geography & hometown
"Product Name: Mama Bear Card Description: A whimsical card for your strong and superb mama bear.
•••
Printed on 100% recycled cover paper. Eco-friendly envelope in yellow. Blank interior. Packaged in a clear sleeve.",Animals
"Product Name: Mistletoe Cat & Dog Christmas Card Description: • Size: 125 x 125 mm
• Printed in the UK on 300gsm board (FSC approved)
• Blank inside
• Kraft envelope included","Cats, Dogs & Other Pets"
"Product Name: Merry Christmas gnome and lantern Description: Blank inside
4.25” X 5.5”
Sets of 10, brown kraft envelopes
Cello sleeve (tab or no-tab)
Designed, printed, and packaged in Nashville, TN

Follow me on Instagram for new designs
@byemilyyoung_",holiday season
"Product Name: Dark Christmas Sticker - Krampus Baphomet Description: • Water resistant 
• Available in 2”, 3”, and 4”
• Matte finish 
• 100% handmade",holiday season
"Product Name: Wood Sticker - The Court is in Session 2 Description: Dust City Wood Sticker Style Options:
Wood Stickers are an eco-friendly alternative to traditional vinyl stickers. Wood Stickers are available in two styles.

Full Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. Our full sized Dust City Wood Stickers come packaged in a biodegradable cellophane sleeve and recycled paper hang tag.

Mini Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. These are a miniature version of our Dust City Wood Stickers and measure approximately 1.4” x 1.4” per sticker. Mini stickers come bulk packaged in groups of 60 stickers.",Sports
"Product Name: Massachusetts 'home' state sticker | Multiple Colors Description: Already a bestseller in wall art and greeting cards, Paperfinch is now offering this design as a Vinyl STICKER! It's a great add-on to any Massachusetts order that you're looking to place.

Our vinyl stickers measure roughly 3.5 x 3.5 inches - varies by state design. Available in selected colors - if you don't like the ones pictured, just let us know what color you'd like and we'll make it happen!

🟡 Female owned business
🟡 Made in the USA
🟡 Made to order. Because of all the different cities/states we can do, we don't hold any inventory. So that means every order is custom-made and we can adjust them for you if needed.

🟡Shop all Massachusetts products HERE: https://bit.ly/PFD_Faire_MA 🟡",geography & hometown
"Product Name: Maple Tree - 3D Pop Up Abra Card Description: Maple tree symbolizes generosity, promise, and balance. The Maple tree pop up card fits in with any occasion as it carries the sweet message of sustenance. Incredible attention to detail has been given to the design as its evident with the crisp cutout of the bright red leaves, apt for any sweet occasion.
This handcrafted pop up card is made using a combination of pearlescent high quality paper. Approximately 150mm x 200mm (l x w) when closed and comes in a sealed cellophane wrapped with an ivory envelope.",plants & floral
"Product Name: CHOC FACE | ROSIE MADE A THING BIRTHDAY CARD Description: BIRTHDAY CARD BY ROSIE MADE A THING
INSIDE GREETING:",
"Product Name: Cosmos Pattern, Happy Birthday Description: Send happy wishes with a greeting card from our birthday collection, cheerfully adorned with botanical watercolors. Each card is blank inside, allowing plenty of room for the sender to express their sentiment. Original artwork by Isa Salazar.

The Emily Post Garden Collection is a series dedicated to Emily Post's love for gardening and hospitality. The collection is designed and produced by Isa Salazar, in collaboration with The Emily Post Institute.

1 Single card. A2. Blank envelope. Plastic sleeve. All cards are blank inside. 130lb natural white paper.
Made in USA. ",plants & floral
"Product Name: Cheers Nalgene Bottles  - Greeting Card Description: An original design on white cardstock. Blank on the inside and comes with a brown envelope.

3.5"" x 4.875""

Looking for the perfect way to celebrate your love of the outdoors and stay hydrated? Look no further than our Nalgene Water Bottles Cheers Greeting Card!

This vibrant greeting card features a playful design that showcases two Nalgene water bottles clinking together in a toast. Whether you're an avid hiker, camper, or just appreciate the beauty of nature, this card is sure to bring a smile to your face.

The card is blank on the inside so you'll find plenty of space to write a personalized message to the recipient, whether you're congratulating them on a recent accomplishment or just saying hello. And with a sturdy construction and high-quality printing, this card is sure to be a cherished keepsake for years to come.
",Food & Drink
"Product Name: Mini Wood Sticker - Minnesota Land of 10,000 Lakes Badge Description: Dust City Wood Sticker Style Options:
Wood Stickers are an eco-friendly alternative to traditional vinyl stickers. Wood Stickers are available in two styles.

Full Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. Our full sized Dust City Wood Stickers come packaged in a biodegradable cellophane sleeve and recycled paper hang tag.

Mini Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. These are a miniature version of our Dust City Wood Stickers and measure approximately 1.4” x 1.4” per sticker. Mini stickers come bulk packaged in groups of 60 stickers.",geography & hometown
"Product Name: Wood Sticker - Floral Sagittarius Description: Dust City Wood Sticker Style Options:
Wood Stickers are an eco-friendly alternative to traditional vinyl stickers. Wood Stickers are available in two styles.

Full Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. Our full sized Dust City Wood Stickers come packaged in a biodegradable cellophane sleeve and recycled paper hang tag.

Mini Sized Dust City Wood Stickers:
These stickers feature 25 mil maple wood and can be cut into almost any shape. Each one is printed with our Ultra Vivid print process and has a peel away 3M adhesive backing. These are a miniature version of our Dust City Wood Stickers and measure approximately 1.4” x 1.4” per sticker. Mini stickers come bulk packaged in groups of 60 stickers.",Zodiac & Birth Month
"Product Name: All’s Good in the Woods - 3 Inch Vinyl Art Sticker Description: Every retailer has different display needs.  Purchase our stickers four different ways:

1. A Pack of 25 Individual Art Stickers • $1.50 each • $4.00 MAP

2. A Pack of 25 Barcoded Individual Art Stickers • $1.60 each • $4.00 MAP

3. A Pack of 12 Carded Art Stickers • $1.85 • $4.50 MAP

4. A Sized Pack of 6 Art Stickers • 1.75 • $4.00 MAP

All of the above options are the exact same high-quality decal art stickers made by us from 100% made in the USA premium vinyl.

Waterproof • Weatherproof • Dishwasher Safe

Perfect for cars, boats, ATVs, sports gear, laptops, cell phones, and anywhere else that needs a dose of extra personality.",Animals
"Product Name: 5 x 7"" Greeting Card  'HOPE' Description: 5 x 7"" greeting cards. Blank inside. White envelope included. Each card individually packaged in clear protective flap-seal bag.

Card stock paper is FSC certified. The Forest Stewardship Council is the world's most trusted mark for sustainable forestry.

Cards are sold in sets of three (3) per image.",Animals
"Product Name: Guinea Pig, Greeting Card (8078H) Description: Offbeat, cheeky and distinctive greeting cards derived from original oil paintings by artist, Danilo Cuevas. 

Blank inside, each handmade card arrives with a matching envelope and protected in a clear plastic sleeve. Choose from two sizes: A2 (5.5 in by 4.25 in, folded) or Enclosure (3.5 in by 2.5 in). Handmade in Illinois, USA.

Keywords: Animals

Text: Blank

Categories: St. Patrick's Day",animals
"Product Name: Peace Sign Symbol Pewter Lapel Pin Brooch, A248 Description: This PEACE SIGN  pin is a perfect gift for conscientious objectors and libertarians. Each pin is double tacked (military style) to avoid spinning. We only use strong neodymium magnets for a powerful grip. Proudly crafted by American Artists. After casting, each piece is hand finished and polished for a beautiful antique look. Satisfaction Guarantee!
Pablo Picasso popularized the Peace Symbol after World War II.  It is used as the logo for the Campaign for Nuclear Disarmament.  The symbol cannot be copyrighted or trademarked.  Conscientious objectors and anti-war movements use the Peace Symbol.",
"Product Name: Zodiac Sign Stickers | All 12 Zodiac Signs Description: Beautiful high-quality vinyl stickers of all the zodiac signs designed in hous in the YAMZ world of color.

Buying a case of 12 means getting every sign. We do this so you can make sure you have every sign at your disposal. Having all 12 signs will increase the chances of sales.

",Zodiac & Birth Month
"Product Name: Clownfish Pewter Lapel Pin or Magnet S088 Description: This Clownfish  pin is a perfect gift for Aquarists and snorkelers. Each pin is double tacked (military style) to avoid spinning. We only use strong neodymium magnets for a powerful grip. Proudly crafted by American Artists. After casting, each piece is hand finished and polished for a beautiful antique look. Satisfaction Guarantee!
The Clownfish is a saltwater fish native to Indo Pacific Ocean.  In the wild, they all form symbiotic mutualisms with sea anemones. Depending on species, anemonefish are overall yellow, orange, or reddish or blackish color, and many show white bars or patches.  The Clownfish is a favorite for saltwater Aquariums.  If you know an Aquarists, this would make a perfect gift.",Beach & Coastal
"Product Name: Turtley the one for me - Funny pun greeting card - 5x7 Description: Product Name: Turtley the one for me - Funny pun greeting card - 5x7 size - Kraft envelope - Plantable seed paper heart on the back!

We love a greeting card, don't you? Our cards are fun, quirky, and eco-friendly. They even include a small handcrafted seed paper heart shape on the back of each card, as a lovely extra your recipient can plant.

10% of all profits (for the cards and any other product in our shop) will be donated to the three charities THLC currently support: Bliss Scotland, Down's Syndrome Scotland, and The Glasgow Children's Hospital Charity.

Your cards are all printed on a beautiful, slightly rough-textured off-white 250gsm card stock, and are 5x7"" in size. Envelopes are charming, rustic kraft envelopes, included with each card.

The back of each card features our logo, as well as the three charities' logos the Peter Pan quote: ""Love, it is said, is blind, but love is not blind. It is an extra eye, which shows us what is most worthy of regard.""",animals
"Product Name: 16 Candles Sticker, Make A Wish Circle Sticker, 80'S Movies, Movie Quotes, Valentine’S Day, Sticker, Decal, Vinyl, Gift, Free Shipping Description: Water Resistant Measures 3"" at the longest side Glossy Finish 100% Handmade.",Pop Culture
"Product Name: Baby Horse Mother’s Day Description: “A mother is the trust friend we have.” ~ Washington Irving
Inside Card: And the warmest love we’ll know. Happy Mother’s Day


Photo by: Ann Peterson

Standard 5″ x 7″ A7 Greeting Card
A few “GREEN” facts about our Greeting Cards…
 Our cards are printed on FSC Certified paper. Our paper is elemental chlorine and acid-free.
 Our paper is manufactured with renewable energy sources.
 We love our local printers who pay attention to every card detail.
The Nature's Voice series features photographs taken throughout Ireland by MUNDO IMAGES founder and award-winning photographer, Ann Peterson.",animals
"Product Name: Your Mom Holographic Sticker | Sarcastic Stickers Pack | Funny Laptop Sticker | Sticker Bomb | Snarky Sticker | Funny Bumper Stickers Description: ""Your Mom"" sticker, 3.3” long (red) or 3.6"" (holographic), super durable and weatherproof.

Perfect snarky sticker to slap on your laptop or tablet, and even durable enough for the bumper of your jeep or car!
Stickers may also be used on a water bottle, though hand-washing is recommended.

**Buy 5 items and get 20% off your entire order (US Only)**

more stickers >> Message us.",
"Product Name: Rhode Island state vinyl sticker | Multiple Colors Description: Already a bestseller in wall art and greeting cards, Paperfinch is now offering this design as a Vinyl STICKER! It's a great add-on to any Rhode Island order that you're looking to place.

Our vinyl stickers measure roughly 3.5 x 3.5 inches - varies by state design. Available in selected colors - if you don't like the ones pictured, just let us know what color you'd like and we'll make it happen!

🟡 Female owned business
🟡 Made in the USA
🟡 Made to order. Because of all the different cities/states we can do, we don't hold any inventory. So that means every order is custom-made and we can adjust them for you if needed.

🟡 Shop all Rhode Island products here 🟡",geography & hometown
"Product Name: Handmade Seed & Other Paper Types Birthday Card Description: Happy Birthday Card
Paper types available: Seeded Paper / Elephant Poo Paper / Cotton Paper in 2 colours / Lemongrass Paper / Coffee Husk Paper / Coconut Husk Paper / Tea Paper / Banana Paper / FSC-Approved Recycled Paper 
Design: Frappy Birthday
Available in: single card, pack of 5 cards, pack of 8 cards
100% recycled paper
Instructions are illustrated on the reverse of every card
Each card comes with a brown envelope
Packs are wrapped in a compostable and biodegradable sleeve made of vegetable starch, fully biodegradable in home compost.
Handmade and designed in Yorkshire, UK
100% plastic free
Card size: 15cm x 10.5cm (folded A5)","Cats, Dogs & Other Pets"
Product Name: Forever Thankful Thanksgiving Greeting Card Description: Celebrate Thanksgiving these gorgeous + bright greeting cards! Originally hand-painted in watercolor and printed on bright card stock. Perfect encouragement and motivational card to celebrate any occasions for graduation and more! Sizes A2 fold over card.  Comes with purple + pinks envelopes in a sealed envelope.,Gratitude
"Product Name: Lion Sticker, laminated Sticker, waterproof sticker, Description: This sticker shown is a height of 2.75” and is laminated! It’s a vinyl sticker. 
",animals
"Product Name: Magnet - Washington Goat w/ Cigar Description: Magnets Style Options:
Magnets are available in five styles.

1/8"" Clear Acrylic Magnets:
These magnets feature 1/8” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Clear Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Recycled Wood Magnets:
These magnets feature 1/4” recycled wood. Each one is printed with our Ultra Vivid printing process and given a strong, 1” ceramic magnet applied to the back

5/16"" Bamboo Magnets:
These bamboo wood magnets feature 5/16” thick bamboo. Each one is printed with our Ultra Vivid print process and given a strong, 1” ceramic magnet applied to the back

1/4"" Full Color Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our full color digital process and given a strong, 25 mil magnetic backing.",Geography & Hometown
"Product Name: Dress Card Description: This is the perfect card for a special lady in your life. Choose from a variety of patterns to match your special lady's personal style. This is perfect for a birthday, bridal party thank you, or Mother's Day.

These cards are made using upcycled or second-hand materials and 100% recycled paper.

Details
Size: 4"" by 5.5"" when folded
Materials: Upcycled Papers and 100% Recycled Cardstock
Card is blank inside
Envelope is included.",fashion
"Product Name: I just want you to be happy (and naked)... Description: This is a paper cut card measuring 5"" square. It is cut in an 65lb acid and lignin free cardstock. The liner is attached to the main card with a single strip of double sided tape.

Each card comes with a neutral coloured envelope and is sealed in a clear bag",
"Product Name: Happy Birthday Sasquatch Greeting Card Description: Handcrafted Letterpress Greeting Card
Printed on an Antique Printing Press
 
- Handmade in Seattle 
- Printed with Soy Based Inks
- Paper: 110lb Cover (100% Recycled)
- FSC Certified + Green Star Certified
- Envelope: Kraft
- Card Size: 3 3/8"" X 5 3/8""
- Inside of Card: Blank",animals
"Product Name: Get in Loser 4” Vinyl Waterproof Sticker Description: 3"" Vinyl Sticker - Waterproof and Weatherproof - by Glitter & Gloom",
"Product Name: Santa Cat Knocking Over Christmas Tree Christmas Holiday Festive Vinyl Sticker Description: This listing is for one sticker.
This sticker is made from high quality vinyl sticker paper.
Choose between glossy and matte.
Custom orders welcome!",Holiday Season
"Product Name: Fox  Art Card AC124 Description: Originally painted in watercolours using professional Winsor and Newton paints, this artwork is now reproduced and re designed as an artcard. Left blank inside for that personal message and supplied with a brown envelope. This artcard can be framed afterwards to decorate any environment.",animals
"Product Name: Night waterfall Plane Window Vinyl Sticker Description: Night waterfall plane window

 * sticker size is 2.2"" wide x 3"" tall  

* Each sticker is printed on a thick durable vinyl with UV ink, and coated in a UV laminate. Stickers are waterproof, scratch proof, and fade resistant. Stickers can be used on laptops, water bottles, cars, notebooks, and any other clean non porous surface you can think of. 

 * Stickers come bulk packed without retail packaging unless otherwise requested.",Travel & Adventure
"Product Name: Sun Loves The Desert (Roswell, New Mexico) Sticker Art Description: The Sun Loves The Desert. 

A desert landscape complete with telepathic alien fairies, crash landings, campfires and sunflowers.

4.5 x 5.5 sticker

Can be a laptop sticker, bumper sticker, water bottle sticker, the possibilities are endless!

SHIPPING

Each sticker or pack is shipped in a mailer or envelope, depending on size and quantity.

© Danielle Arden O'Malley",sci-fi & fantasy
Product Name: Love x3 Description: nan,Love
Product Name: Christmas Tree Description: Watercolour painting printed on off-white cardboard.,Holiday Season
"Product Name: REALLY IMPORTANT | CARTE EMPOWERMENT CARD Description: EMPOWERMENT CARD BY KAT GOTTLIEB FOR CARTE
INSIDE GREETING: blank",Plants & Floral
"Product Name: Colorful round organization sticker sheet Description: Sheet of colorful round self-adhesive organizational stickers, ideal for customizing your bullet journal and decorating it to your liking! 💛 You can also stick them on various supports such as paper, scrapbook, phone and computer cases, etc...

Dimensions of the boards: 10.5cm x 14.8 cm (4.13*5.82inch)

Available in green, blue, yellow or green. If these colors do not suit you, you can also contact me to ask for customization.

🇫🇷 Printing, cutting and craft design, Handmade in France

Made from matt self-adhesive paper from France

🌸 If these stickers do not exactly meet your expectations, you can contact me to ask me to print personalized stickers. 🌸",
"Product Name: The World is Yours Oyster Card Description: The letterpress printed The World is Yours Oyster cards are the perfect message of congratulations or encouragement. 

Letterpress printed by hand in a marine blue ink, the press creates a subtle raised texture of embossed oysters beautiful suede-like texture on the paper. These illustrated greeting cards are blank on the inside and printed, scored, and folded by hand on cotton paper. 

DETAILS 
 * A2 (4.25"" x 5.5"") blank letterpress cotton card and kraft paper envelope 
 * Made in United States of America 
 * The Wild Wander is committed to reducing its carbon footprint. If you would prefer single cards packed without cellophane, please send us a message ",Beach & Coastal
"Product Name: Small Block Letter X (WATERPROOF) Description: This is a hand drawn design, made into a folksy die-cut sticker. This sticker is 2 inches x 1.9 inches in size, perfect for a computer or anything you can put stickers on! This sticker are reposition-able!

All materials are 2-3 year weatherproof withstanding everything from sunny days to the harshest of weather. Durable for cars, dishwashers, and anything else you could think of.
","Alphabet, Dates & Numbers"
"Product Name: You Are Enough  - Card Description: You are enough, simple card to tell someone they are enough.  a lover, friend, family member.  Anyone that needs a little pick me up! 

A6/A5 Size - White 350gsm beautiful silk card stock 
Designed and printed in Hertfordshire
• We dispatch all UK CARD orders with Royal Mail 1st Class Delivery next day.
• UK Card orders usually arrive within 2-3 business days • 1st Class does not guarantee next day (due to Covid-19 all delivery times can be longer than expected. 
• International Shipping
• We dispatch all International orders with Royal Mail International Standard Delivery
• Orders placed to countries outside of Europe usually arrive within 10-14 business days
• Proof of postage can be supplied at your request
• We are not responsible for any delays due to customs
• Buyers are responsible for any customs and import taxes that may apply
• Tracked & Sign is also available at an additional cost.
 
Made with ❤️",Female Empowerment
"Product Name: Sperm Funny Father's Day Greeting Card - Swimmer Card Description: Sperm funny Father's Day A6 greeting card.

• Digitally illustrated and printed by me in my small home studio in the UK
• Printed on matte white 300gsm card
• Card is A6 (Approx. 10.5 x 14.8cm)
• Blank inside
• Includes a 100% recycled brown Kraft envelope",family & friendship
"Product Name: Magnet - Let's Get Weird Axolotl Description: Magnets Style Options:
Magnets are available in five styles.

1/8"" Clear Acrylic Magnets:
These magnets feature 1/8” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Clear Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Recycled Wood Magnets:
These magnets feature 1/4” recycled wood. Each one is printed with our Ultra Vivid printing process and given a strong, 1” ceramic magnet applied to the back

5/16"" Bamboo Magnets:
These bamboo wood magnets feature 5/16” thick bamboo. Each one is printed with our Ultra Vivid print process and given a strong, 1” ceramic magnet applied to the back

1/4"" Full Color Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our full color digital process and given a strong, 25 mil magnetic backing.",
"Product Name: Elephant Love Sticker Vinyl Decal Description: Stickers are a great way to personalize your car, laptop, tumbler, and pretty much anything else you can think of! Our vinyl stickers are made in-house using our HP Latex printers. This means they are water resistant, weather resistant, non-toxic, and they won't leave a sticky mess when you peel them off!

We print on industry leading vinyl and cut the stickers to shape (die cut). They will stick to clean, smooth surfaces best. Our stickers have a matte finish overlaminate to protect them from UV fading, scratches or wearing away on a high touch area. They are thick and durable, and rated for 1-3 years outdoor use depending on the climate.

*Stickers shown in renders are not actual size, and are enlarged to show detail.

*Sizes shown are the longest dimension of the sticker.

*Please contact us if the size you would like is not listed",animals
"Product Name: From the love of your life cat Father's Day card Description: The perfect greeting card to wish a cat dad a happy Father's Day. Ideal to give as 'from the cat' card.

Available with cat or cats.

Packaged plastic free with no cello and no sticker. The envelope is nested inside the card.

> Blank inside 
> Grey envelope 
> A6: 105mm x 148mm
> Packaged plastic free
> 300gsm FSC accredited card
> Designed and printed in the UK","cats, dogs & other pets"
"Product Name: Definitely Very Much Wiser : Birthday Card Description: Funny and cheeky birthday card in range of bright colours. Ideal for someone with a sense of humour - they'll forget they're not as young as they were! Perfect for 40ths, 50ths and beyond!

The 5 x 7 inch card is blank inside and is printed in the UK with a high-quality matt finish on to 300gsm stock. 

The card is FSC approved, complete with logo and certification.

It will be supplied with an envelope and cello wrapped.",
"Product Name: Will you be my Vowel-entine? Description: A - E - I - <3 - U !  Will you be my vowel-entine?

For your favorite grammar enthusiast.

A2 card with Kraft envelope.",Books & Reading
Product Name: Cat's PJs Thinking of You Appreciation Card Description: The card measures 105 x 150 mm and is sold with a colored envelope. Blank inside for your own message. Printed onto 300 gsm FSC-approved board in the UK.,"Cats, Dogs & Other Pets"
"Product Name: Vintage Busy Bee To Do List Notepad Blue Description: **Regularly $6, now only $5!**
This vintage Fischer-price bee to-do list will help keep you organized. Honeycomb shaped checkboxes and border design make this a unique checklist while bringing back some nostalgic childhood memories. Makes a great gift for future mom to be!

Size: 4 x 9in
50 sheets per pad
Chipboard back for extra strength
Wrapped in resealable cello sleeve
Made in the usa",Animals
"Product Name: Cute kawaii mushroom enamel pin Description: ★ A cute ~0.75"" hard enamel pin with gold plating
★ It has one rubber clutch at the back
★ It will come on a recyclable paper backing card",Plants & Floral
"Product Name: Shine Wherever You Go Sticker | Rainbow Sticker | Waterproof Description: Shine Wherever You Go Sticker | Rainbow Sticker | Waterproof Sticker | Hydro Sticker | Fun Stickers | Water Bottle Stickers | Shiny Stickers.This gorgeous sticker is waterproof which is perfect for your water bottles, coffee cups or mugs, laptops, and so much more! All the waterproof stickers in the shop are printed on quality waterproof sticker paper, then laminated with an additional waterproof protective layer. This sticker measures 3"" x 1.98"" and comes in two options, white or holographic. The white is a bright white background and allows the designs to stand out. The holographic is a gorgeous background that shines any time light hits it.",Female Empowerment
"Product Name: Georgia Rainbow State Sticker Vinyl Decal Description: - Durable & high quality vinyl stickers.
- Weather and water resistant.
- Matte finish overlaminate protects from UV, fading and scratches.

Stickers are a great way to personalize your car, laptop, tumbler, and pretty much anything else you can think of! Our vinyl stickers are made in-house using our HP Latex printers. We print on industry leading vinyl and cut the stickers to shape (die cut). They will stick to clean, smooth surfaces best.

*Stickers shown in renders are not actual size, and are enlarged to show detail.

*Please contact us if the size you would like is not listed",geography & hometown
"Product Name: Abortion Is Healthcare 1"" Mini Button Pin Description: Our retro-inspired designs are crafted with high-quality, all metal parts, this must-have accessory is sure to add a touch of classic style to any lapel, hat, bag or pin-able surface.

Two Options Available:
1. No backing card. Perfect for display in a small, shallow or flat container. 

2. Add a 3"" x 4"" backing card for each pin for a small fee. Pins ship pre attached to backing card. No cello bag. Backing cards are printed on FSC certified paper (for responsible forestry) using cartridge-free ink printer.

*Measurement reflects the longest side.
*Each button pin features a metal back.
*Designed and crafted in small batches in Chicago.",Politics
"Product Name: Boho Halloween Rainbow Waterproof Sticker Description: These stickers are great to add a little personal flair to accessories such as tumblers, laptops, car windows, notebooks, phones, etc.

Material & Sizing: Sticker is printed on water resistant vinyl and sealed with water proof laminate. All stickers are waterproof and hold up to best quality if hand washed only when put on drinkware. Sizing is based on the longest side. For exact measurements, please message me. 

Sticker can be removed carefully and reused in another spot once. 

Sticker leaves little to no residue, which can be removed with alcohol wipes. 

Retailers may resell products on any platform except Etsy.com, but giving away products as a freebie added to your order is permitted.",
"Product Name: I Don’t Rise and Shine Vinyl Sticker Description: I dont rise and shine I caffeinate and hope for the best  

* sticker size is 2.6"" wide x 3"" tall 

 * Each sticker is printed on a thick durable vinyl with UV ink, and coated in a UV laminate. Stickers are waterproof, scratch proof, and fade resistant. Stickers can be used on laptops, water bottles, cars, notebooks, and any other clean non porous surface you can think of.

  * Stickers come bulk packed without retail packaging unless otherwise requested.",
"Product Name: Happy Retirement Congratulations Card (Blue) Description: A truly unique greeting card for that special someone. This card is made to order by Fat Cat in the U.K from high quality, FSC sustainably sourced board. The card is 330gsm with a silk finish on the outer and matte on the inside for biro. The inside of the card is blank. The greeting card comes fully packaged with a white envelope (red for Christmas cards) and 100% recyclable cellophane bag. The back of the card highlights the fact that it is designed and made in the UK.",
"Product Name: Succulents Thank You Note Card (single or boxed) Description: Available single or boxed.
A2 Size Greeting Cards (4.25 x 5.5 inches folded).
Blank inside. 
Printed on premium recycled paper.
Paired with recycled brown kraft envelopes.
Packaged in cello/clear box.
",plants & floral
"Product Name: EGG PRESS -- Sweetpea Baby Description: NOW AVAILABLE IN TWO PACKAGING OPTIONS: PAPER TAB OR PLASTIC SLEEVE!
Letterpress printed by Jon in Portland, Oregon
Comes with a kraft envelope
Dimensions: A2 (4.25 x 5.5 inches)
Designed by EGG PRESS in Portland, Or
Thoughtful as hell since 1999.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",Plants & Floral
"Product Name: Thankyou For Helping Me Grow - Teacher Gift Description: 
Black waxed hemp Wish String Bracelet with a Special Teacher Charm. Arrives tied to a 400 gsm card with an envelope.

. Tie your bracelet on your wrist, when it snaps your wish exists.
",Teacher Appreciation
"Product Name: Marylin Monroe Sticker (WATERPROOF) Description: This is a hand drawn design, made into a folksy die-cut sticker. This sticker is 2.4""x 3.7"" in size, perfect for a computer or anything you can put stickers on! This sticker are reposition-able!

All materials are 2-3 year weatherproof withstanding everything from sunny days to the harshest of weather. Durable for cars, dishwashers, and anything else you could think of.",pop culture
"Product Name: Harry + Megan Couple Card Description: This listing is for one Kim Kardashian + Kanye West greeting card.
• Card size is 4.25 x 5.5 inch (A2).
• Blank inside for you to fill in.
• Printed on 110 lb cardstock paper.",pop culture
"Product Name: Halloween, Pumpkin Heart, Jack O'Lantern Pumpkin, Spooky Season, Halloween Vibes, Pumpkin Sticker, Vinyl Sticker, Halloween Town, Cartoon Description: 
This sticker is made from high quality vinyl sticker paper.
Choose between glossy and matte.
Custom orders welcome!",Holiday Season
"Product Name: Palm Reading encouragement greeting card Description: Blank inside. 100lb heavyweight card stock. Die cut, offset printed and foil stamped. 5 x 7 inches. Illustrated by Bodil Jane. Printed by Red Cap Cards in Los Angeles, California, USA, on recycled paper.
Available as both single cards and pre-packaged boxed cards.
- Each single card comes with an envelope and a cellophane sleeve.
- Boxed sets are 8 cards with envelopes and are to be sold as packaged, NOT TO BE re-sold as individual cards.",Zodiac & Birth Month
